exp_name,recommended_snapshot,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE,delta_Bleu_4,delta_METEOR,delta_ROUGE_L,delta_CIDEr,delta_SPICE,all_above_test_baseline,spice_above_baseline,caption_metrics_above_baseline_count,main_failure_metric,recommendation
lmask003_lsem005_pd05_warmup_no_reweight,experiments/lmask003_lsem005_pd05_warmup_no_reweight/best_balanced_v2.pth,0.8230590486604139,0.7287688739417315,0.6434766408355443,0.5700292427676599,0.39086147172150826,0.7439663100568505,1.336888909072797,0.3245240530737334,0.005029242767659925,-0.0001385282784917563,-0.0020336899431494526,-0.011111090927203193,-0.011475946926266634,False,False,1,SPICE,best_balanced_available_snapshot
lmask003_lsem005_pd05_rw01_warmup,experiments/lmask003_lsem005_pd05_rw01_warmup/snapshots/lmask003_lsem005_pd05_rw01_warmup_checkpoint_9000.pt,0.8344976170267784,0.7434350847851511,0.6618537563787268,0.5929754702847191,0.39578219786688773,0.743703292126109,1.3497674326638487,0.31092805411394236,0.02797547028471914,0.004782197866887716,-0.002296707873891024,0.0017674326638486004,-0.025071945886057656,False,False,3,SPICE,best_balanced_available_snapshot
lmask003_lsem003_pd05_rw01_warmup,experiments/lmask003_lsem003_pd05_rw01_warmup/snapshots/lmask003_lsem003_pd05_rw01_warmup_checkpoint_9000.pt,0.8342505665263299,0.7414636926516881,0.660605490957808,0.5936195109713398,0.39680380757502914,0.7423181022888062,1.3497480477839567,0.3074927169325668,0.028619510971339857,0.00580380757502913,-0.00368189771119376,0.0017480477839566522,-0.02850728306743322,False,False,3,SPICE,best_balanced_available_snapshot
