dataset,seed,checkpoint,selection_json,test_result,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE,all_metrics_strictly_above_baseline
levir_cc,1111,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed1111/snapshots/unified_rsaca_levir_cc_seed1111_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed1111/test_unified_locked_result.json,0.802999642899607,0.7044331254503021,0.6250856759920718,0.5629361195259155,0.38769777460110705,0.7185216955777369,1.276798676841234,0.28294897727028895,False
levir_cc,2222,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed2222/snapshots/unified_rsaca_levir_cc_seed2222_checkpoint_9000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed2222/test_unified_locked_result.json,0.8065035614740906,0.7047218036675272,0.6218388371506167,0.5561813246426898,0.38325877766310934,0.7241153847767923,1.2921529903866322,0.2974458877163797,False
levir_cc,3333,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed3333/snapshots/unified_rsaca_levir_cc_seed3333_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_cc_seed3333/test_unified_locked_result.json,0.7961471554667356,0.6890194800994739,0.5997959236869267,0.5261440237955922,0.3759285943372329,0.7247126994238604,1.2948636524179427,0.3236284382557101,False
levir_mci,1111,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed1111/snapshots/unified_rsaca_levir_mci_seed1111_checkpoint_9000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed1111/test_unified_locked_result.json,0.8083636556608265,0.7104225972717623,0.6306790610219231,0.5646672250220252,0.3749791617166043,0.7209595267916709,1.2781221803988838,0.3055208997593486,False
levir_mci,2222,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed2222/snapshots/unified_rsaca_levir_mci_seed2222_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed2222/test_unified_locked_result.json,0.8008591771295005,0.7042141305383067,0.6232826299175936,0.5541200397711941,0.3766083684008741,0.7285764985774624,1.3050797905110474,0.32637483396025346,False
levir_mci,3333,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed3333/snapshots/unified_rsaca_levir_mci_seed3333_checkpoint_9000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_levir_mci_seed3333/test_unified_locked_result.json,0.8166444122807744,0.723188255405585,0.6477032230850746,0.5873433668321476,0.3841163230410525,0.7273299041382763,1.3058164214262409,0.2961782379604244,False
second_cc,1111,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed1111/snapshots/unified_rsaca_second_cc_seed1111_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed1111/test_unified_locked_result.json,0.4966779047993272,0.37139659724772,0.29674422501766246,0.24609656343728192,0.18818982260208061,0.46234092147900185,0.6579070665311367,0.2089282833256151,False
second_cc,2222,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed2222/snapshots/unified_rsaca_second_cc_seed2222_checkpoint_8000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed2222/test_unified_locked_result.json,0.483882663601647,0.35814995367015057,0.28357919325743575,0.23244812099170198,0.18626528368241274,0.4589560902341438,0.6657481592429331,0.2220097367628334,False
second_cc,3333,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed3333/snapshots/unified_rsaca_second_cc_seed3333_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_new_masks_20260821/unified_rsaca_second_cc_seed3333/test_unified_locked_result.json,0.5037416767326603,0.37739437271735354,0.29989121300511296,0.2476769505262665,0.19323202705631895,0.46561332031413466,0.6663557276564649,0.21394818184720324,False
