dataset,seed,checkpoint,selection_json,test_result,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE,all_metrics_strictly_above_baseline
levir_cc,1111,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed1111/snapshots/unified_rsaca_levir_cc_seed1111_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed1111/test_unified_locked_result.json,0.8347133556664664,0.7422854738541341,0.6652071052966352,0.6022679425848496,0.4020346952207171,0.7431647850286569,1.338114045361197,0.29304779012309085,False
levir_cc,2222,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed2222/snapshots/unified_rsaca_levir_cc_seed2222_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed2222/test_unified_locked_result.json,0.8439720694555494,0.7551075340779969,0.6794102651369776,0.6177024727814351,0.40613345612141893,0.7479206558279948,1.3704019601879813,0.29063860661843544,True
levir_cc,3333,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed3333/snapshots/unified_rsaca_levir_cc_seed3333_checkpoint_9000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_cc_seed3333/test_unified_locked_result.json,0.8183169989860887,0.7172318784930958,0.628249453239494,0.5515172787587096,0.38893945579950706,0.7402848237780288,1.330827941981557,0.33721078759957435,False
levir_mci,1111,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed1111/snapshots/unified_rsaca_levir_mci_seed1111_checkpoint_9000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed1111/test_unified_locked_result.json,0.8473048268953329,0.7573492101188187,0.6776240789239691,0.6120188744842077,0.4095727745480954,0.7557523390939872,1.3794717722000513,0.2994613600758025,False
levir_mci,2222,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed2222/snapshots/unified_rsaca_levir_mci_seed2222_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed2222/test_unified_locked_result.json,0.8485256331823781,0.7552301698823873,0.6764480030987333,0.6126232357502963,0.4111105728902836,0.7594143739059727,1.3907407706639214,0.29925855814685226,False
levir_mci,3333,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed3333/snapshots/unified_rsaca_levir_mci_seed3333_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_levir_mci_seed3333/test_unified_locked_result.json,0.8373366180797346,0.7373161167145681,0.6482388782151838,0.5692798503748817,0.3997994302757759,0.7603199411754828,1.3798825241419803,0.3438439354371135,True
second_cc,1111,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed1111/snapshots/unified_rsaca_second_cc_seed1111_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed1111/test_unified_locked_result.json,0.6606387071950242,0.5040109474852831,0.39611062285753074,0.320993215731756,0.2515423167690118,0.5476346835424447,0.8288613843831192,0.24626273886541475,False
second_cc,2222,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed2222/snapshots/unified_rsaca_second_cc_seed2222_checkpoint_9000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed2222/test_unified_locked_result.json,0.6515069760270831,0.488540092087715,0.3794554682942239,0.3016970473434512,0.24581222117498447,0.5481977577056781,0.8188398869548975,0.25809310303195193,True
second_cc,3333,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed3333/snapshots/unified_rsaca_second_cc_seed3333_checkpoint_10000.pt,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/reliability_sparse_rsaca_v1_prenorm_changed_global/unified_rsaca_second_cc_seed3333/test_unified_locked_result.json,0.6463622291021172,0.4850380618167627,0.3752144804297754,0.29787697590185697,0.24836396979879635,0.541579485110003,0.8114306042770013,0.2591244121928557,True
